Frequency,Nominal,Min,Max
14200,0.00007772676580819861,0.00007790326771303418,0.00007755398443826769
14500,0.00007630048532839943,0.00007647918232010504,0.00007612564762809761
14800,0.00007493422093558642,0.00007511519649365396,0.00007475725034793826
15000,0.00007405498213317347,0.00007423752474571006,0.00007387654565171459
15500,0.00007196054024739482,0.00007214717615905227,0.00007177827843958583
16000,0.00007000338028277692,0.00007019437456042617,0.00006981705135695891
16500,0.00006817141903618194,0.00006836705603064888,0.00006798076434799346
17000,0.00006645402277862433,0.00006665460827357084,0.00006625876501790372
17500,0.00006484180318987808,0.00006504766684564372,0.00006464164432794325
18000,0.000063326447702032,0.00006353794584342347,0.0000631210666607768
18500,0.00006190057780595707,0.00006211809661191473,0.0000616896278033323
19000,0.00006055763024291922,0.00006078158940656578,0.00006034073576124662
19500,0.00005929175705805136,0.00005952261399806722,0.00005906851037205958
20000,0.000058097741311793665,0.00005833599603057878,0.000057867698502079684
20500,0.00005697092588728998,0.00005721712658810036,0.00005673360225193165
21000,0.00005590715333848941,0.00005616190293267529,0.000055662018100673294
21500,0.00005490271512673922,0.000055166678783061897,0.000054649185319568235
22000,0.00005395430891618945,0.00005422822282614074,0.00005369174230761516
22500,0.00005305900285736333,0.00005334368441174097,0.00005278668975923421
23000,0.0000522142059957938,0.00005251056558526941,0.00005193135978291391
23500,0.00005141764410638201,0.000051726698766715123,0.0000511233902571556
24000,0.000050667340377622566,0.00005099022948875417,0.00005036070384240811
24500,0.00004996160045197781,0.00005029960365324786,0.000049641491167258044
25000,0.00004929900136269978,0.000049653558737480674,0.00004896419777265356
25500,0.00004867838387888823,0.000049051118248957374,0.00004832751442353718
26000,0.000048098847654515236,0.000048491588441938846,0.00004773037037096744
27000,0.00004706069533331686,0.000047499882913364585,0.00004665158548857825
27500,0.00004660154832064428,0.000047067699162391104,0.00004616896437028995
28000,0.00004618240931037548,0.0000466783804464489,0.00004572391706927413
28500,0.000045803605693165065,0.00004633250970166658,0.000045316515145370234
29000,0.00004546565724693892,0.00004603080619104012,0.00004494703643063274
29500,0.00004516921725887994,0.00004577400770587786,0.00004461593803036619
30000,0.00004491497457349063,0.00004556268673197386,0.000044323808170465725
30500,0.00004470350061105789,0.000045396982345459545,0.000044071286064978026
31000,0.000044535025280532624,0.00004527623912307037,0.000043858936491252065
31500,0.000044409132041290405,0.00004519856936656708,0.00004368706505328585
32000,0.00004432438045367795,0.00004516040009997971,0.000043555463980510587
33000,0.000044265038805827194,0.00004517803330209886,0.00004340770804825658
34000,0.00004431215415750863,0.000045261587189735656,0.00004339111790257121
35000,0.00004439630637275227,0.00004533092608532324,0.00004345552849499789
36000,0.00004444594583767523,0.0000453251225977669,0.00004353320298650079
37000,0.00004441436281144096,0.000045219730096525014,0.000043562636962539754
39000,0.00004407634709689637,0.00004474377256562021,0.00004336739522197723
40000,0.00004379758478045148,0.00004441223361481767,0.000043148617201800804
41000,0.00004347031749031714,0.00004404263546631266,0.00004287041815654547
42000,0.00004310993221683054,0.000043648345340237485,0.00004254949971271597
43200,0.000042649961993498964,0.000043156100675358185,0.00004212690865866497
44500,0.00004213309954410902,0.000042611814363514885,0.000041641479655437286
45800,0.000041608588261113065,0.000042065530806296844,0.00004114167131946161
47500,0.000040923951103269257,0.00004135861599910332,0.00004048215645714255
48800,0.000040407759453173195,0.0000408290288624669,0.000039981091575281824
50000,0.00003994017810613012,0.00004035136156703483,0.00003952499387283376
51500,0.000039370590264647324,0.00003977181609565584,0.00003896695342558551
53000,0.00003881995923648827,0.00003921386060375022,0.000038425163983909234
55000,0.00003811854775995861,0.00003850653050978465,0.000037731765484243695
56500,0.000037619037445002015,0.00003800552213907899,0.000037235528343264204
58000,0.00003714389239340661,0.000037531633755355687,0.000036761206732364
60000,0.00003655105267864125,0.00003694531477339347,0.00003616523191261473
61500,0.00003613934847198991,0.000036542507094382676,0.000035747600130398374
63000,0.000035758086892377725,0.0000361735747943341,0.00003535709179732135
64500,0.000035409003414635415,0.000035839574553308576,0.00003499554926584031
66000,0.00003509285025249262,0.000035539515147589537,0.00003466448860027417
67500,0.00003480834502043515,0.00003526904445752438,0.00003436441759683671
68800,0.00003458401467125762,0.000035052053484685874,0.00003412836237782771
70000,0.00003439059588598186,0.00003485901608047061,0.00003392785379763047
71500,0.00003415839514638063,0.00003461660028359681,0.000033694879786912443
73200,0.00003389325222585107,0.00003432572325691533,0.00003344249372268435
75000,0.00003359289285451205,0.00003398628417557856,0.000033170837909571916
76500,0.00003331853200203433,0.00003367516185902115,0.00003292874081589678
78000,0.00003301987483995208,0.000033339805854545536,0.000032665736032415734
80000,0.00003258659260490879,0.000032861502254701976,0.00003227960349432131
82000,0.00003212104798172183,0.00003235735326975372,0.000031856604826227873
84000,0.00003163306793189915,0.00003183730733415545,0.00003140492225775813
86000,0.00003113157778797478,0.00003130948771556698,0.000030933600047095254
88000,0.000030623778943817076,0.00003078007810011998,0.000030450653572194593
90000,0.000030115141391635483,0.000030253607087241727,0.000029962503104423917
92000,0.00002960967974147649,0.00002973330928355508,0.00002947402520281576
94000,0.00002911027330387505,0.00002922144688986862,0.000028988810670858155
96000,0.000028618945842271942,0.000028719564394585003,0.000028509447287366007
98000,0.000028137086536479376,0.000028228680545901288,0.000028037764128549965
100000,0.000027665617017738823,0.000027749430001799987,0.000027575024538164912
